player_id,birth_date,espn_id
00-0011932,1976-02-01,
00-0012261,1966-07-03,
00-0012317,1973-10-09,
00-0012321,1975-02-22,
00-0012368,1973-03-03,
00-0012370,1976-06-24,
00-0012478,1973-12-07,
00-0012480,1975-10-04,
00-0012515,1972-11-19,
00-0012556,1976-12-24,
00-0012603,1967-09-16,
00-0012637,1975-12-16,
00-0012642,1974-08-19,
00-0012726,1968-01-31,
00-0012732,1966-03-16,
00-0012764,1971-04-20,
00-0012832,1975-02-24,
00-0012931,1975-05-12,
00-0012946,1970-10-30,
00-0012953,1970-03-23,
00-0012971,1969-09-06,
00-0013013,1975-08-14,
00-0013042,1974-12-19,
00-0013080,1972-02-08,
00-0013097,1974-06-18,
00-0013173,1976-06-06,
00-0013176,1974-11-03,
00-0013232,1976-10-27,
00-0013258,1969-10-25,
00-0013262,1973-12-22,
00-0013268,1968-03-07,
00-0013298,1969-10-17,
00-0013308,1972-04-07,
00-0013422,1972-09-07,
00-0013499,1964-01-29,
00-0013512,1967-09-28,
00-0013523,1975-01-14,
00-0013622,1970-12-11,
00-0013639,1962-10-13,
00-0013712,1974-11-14,
00-0013728,1973-05-17,
00-0013770,1967-03-18,
00-0013785,1971-11-13,
00-0013792,1972-08-29,
00-0013888,1975-02-27,
00-0013958,1976-06-19,
00-0014211,1975-08-12,
00-0014256,1974-10-08,
00-0014319,1972-05-08,
00-0014328,1973-02-17,
00-0014350,1974-03-04,
00-0014450,1972-06-23,
00-0014489,1971-01-09,
00-0014544,1972-07-07,
00-0014655,1975-07-21,
00-0014722,1968-06-26,
00-0014729,1973-04-23,
00-0014742,1973-11-16,
00-0014753,1971-02-14,
00-0014759,1975-06-20,
00-0014790,1969-11-03,
00-0014809,1976-01-31,
00-0014918,1974-12-08,
00-0015048,1972-06-08,
00-0015053,1972-12-20,
00-0015063,1970-09-04,
00-0015082,1975-08-21,
00-0015091,1972-03-14,
00-0015152,1974-02-25,
00-0015161,1969-06-05,
00-0015165,1969-05-15,
00-0015195,1971-10-13,
00-0015218,1969-02-09,
00-0015242,1970-11-29,
00-0015286,1972-03-04,
00-0015290,1970-05-15,
00-0015331,1977-07-30,
00-0015452,1975-06-20,
00-0015507,1970-04-14,
00-0015523,1975-02-27,
00-0015627,1971-12-23,
00-0015655,1976-04-16,
00-0015698,1971-12-27,
00-0015700,1972-10-16,
00-0015723,1974-06-03,
00-0015751,1972-10-06,
00-0015754,1976-06-23,1858
00-0015759,1964-01-28,
00-0015811,1977-04-20,
00-0016098,1976-01-27,
00-0016193,1963-11-13,
00-0016214,1969-08-15,
00-0016232,1971-07-16,
00-0016296,1976-04-26,
00-0016321,1973-03-30,
00-0016331,1966-05-16,
00-0016347,1969-12-30,
00-0016440,1975-04-28,
00-0016534,1966-02-07,
00-0016538,1962-10-23,
00-0016550,1974-09-08,
00-0016654,1976-06-24,
00-0016677,1976-03-24,
00-0016811,1973-07-24,
00-0016821,1974-07-24,
00-0016837,1974-02-25,
00-0016838,1970-05-01,
00-0017027,1967-06-22,
00-0017109,1966-02-26,
00-0017110,1968-12-12,
00-0017121,1966-12-01,
00-0017160,1974-09-29,
00-0017162,1976-03-08,
00-0017200,1971-06-22,
00-0017209,1968-01-24,
00-0017218,1973-01-04,
00-0017301,1976-09-29,
00-0017303,1975-01-07,
00-0017322,1969-04-07,
00-0017356,1976-08-11,
00-0017415,1969-02-03,
00-0017470,1972-07-07,
00-0017480,1970-11-05,
00-0017486,1972-01-19,
00-0017611,1974-09-04,
00-0017662,1974-06-05,
00-0017697,1975-07-29,
00-0017829,1972-07-03,
00-0017847,1971-04-10,
00-0017860,1971-01-25,
00-0017892,1974-07-26,
00-0017896,1977-03-30,
00-0017915,1977-05-21,1756
00-0017922,1973-08-15,
00-0017924,1975-04-27,
00-0018333,1974-05-27,
00-0018343,1971-10-14,
00-0018382,1976-11-20,
00-0018441,1961-10-11,
00-0018483,1972-09-06,
00-0018501,1976-10-08,
00-0018518,1967-12-13,
00-0018608,1976-09-03,
00-0000534,1976-06-19,
00-0000598,1977-04-26,
00-0000781,1976-03-13,
00-0001098,1973-02-03,
00-0001272,1976-05-15,
00-0001823,1976-03-24,
00-0001848,1970-06-23,
00-0002159,1976-11-30,
00-0003600,1974-04-19,
00-0004055,1975-03-24,
00-0004508,1975-10-28,
00-0004595,1971-12-29,
00-0004633,1976-03-15,
00-0004637,1973-11-15,
00-0005854,1975-08-12,
00-0005860,1970-08-09,
00-0006355,1970-07-09,
00-0006458,1969-07-31,
00-0006777,1970-07-24,
00-0006989,1970-12-23,
00-0007059,1973-12-07,
00-0007213,1976-09-21,
00-0007834,1976-04-15,
00-0008109,1975-02-26,
00-0008357,1975-02-28,
00-0008841,1971-05-08,
00-0009715,1976-05-15,
00-0010455,1970-02-08,
00-0010632,1968-06-20,
00-0010786,1976-05-02,
00-0010974,1972-06-17,
00-0011439,1975-12-10,
00-0011573,1974-11-20,
00-0012569,1976-07-14,
00-0013338,1975-02-27,
00-0014977,1976-03-26,
00-0015601,1975-11-13,
00-0015970,1975-08-14,
00-0017644,1975-01-18,
00-0018056,1974-06-23,
00-0018272,1976-02-14,
00-0018568,1977-05-16,
00-0018958,1977-12-29,
00-0018971,1978-04-02,
00-0018977,1976-09-07,
00-0019021,1977-09-10,
00-0019025,1977-05-25,
00-0019027,1977-03-26,
00-0019028,1977-08-31,
00-0019057,1978-02-11,
00-0019087,1977-10-27,
00-0019093,1977-08-01,
